computer,description,deviceid,name,service
curtislaptop,Intel(R) 82801G (ICH7 Family) SMBus Controller - 27DA,PCI\VEN_8086&DEV_27DA&SUBSYS_01BD1028&REV_01\3&61AAA01&0&FB,Intel(R) 82801G (ICH7 Family) SMBus Controller - 27DA,
curtislaptop,System board,ACPI\PNP0C01\2,System board,
curtislaptop,System board,ACPI\PNP0C01\3,System board,
curtislaptop,Bluetooth RFCOMM from TOSHIBA,ROOT\BLUETOOTH\0000,Bluetooth RFCOMM from TOSHIBA,tosrfcom
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\6,Toshiba BT Port (COM6),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\7,Toshiba BT Port (COM7),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\10,Toshiba BT Port (COM10),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\11,Toshiba BT Port (COM11),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\12,Toshiba BT Port (COM12),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\13,Toshiba BT Port (COM13),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\14,Toshiba BT Port (COM14),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\20,Toshiba BT Port (COM20),tosporte
curtislaptop,Toshiba BT Port,BLUETOOTH\0004&0002\21,Toshiba BT Port (COM21),tosporte
curtislaptop,Microsoft Composite Battery,ROOT\COMPOSITE_BATTERY\0000,Microsoft Composite Battery,Compbatt
curtislaptop,Logical Disk Manager,ROOT\DMIO\0000,Logical Disk Manager,dmio
curtislaptop,Volume Manager,ROOT\FTDISK\0000,Volume Manager,ftdisk
curtislaptop,Generic volume,STORAGE\VOLUME\1&30A96598&0&SIGNATURE41AB2316OFFSET7E00LENGTH2730C00,Generic volume,
curtislaptop,Generic volume,STORAGE\VOLUME\1&30A96598&0&SIGNATURE41AB2316OFFSET2738A00LENGTHCDC20F600,Generic volume,
curtislaptop,Generic volume,STORAGE\VOLUME\1&30A96598&0&SIGNATURE41AB2316OFFSETCDE948000LENGTHC02F1000,Generic volume,
curtislaptop,AEGIS Protocol (IEEE 802.1x) v3.4.9.0,ROOT\LEGACY_AEGISP\0000,AEGIS Protocol (IEEE 802.1x) v3.4.9.0,AegisP
curtislaptop,AFD,ROOT\LEGACY_AFD\0000,AFD,AFD
curtislaptop,APPDRV,ROOT\LEGACY_APPDRV\0000,APPDRV,APPDRV
curtislaptop,1394 ARP Client Protocol,ROOT\LEGACY_ARP1394\0000,1394 ARP Client Protocol,Arp1394
curtislaptop,Beep,ROOT\LEGACY_BEEP\0000,Beep,Beep
curtislaptop,dmboot,ROOT\LEGACY_DMBOOT\0000,dmboot,dmboot
curtislaptop,dmload,ROOT\LEGACY_DMLOAD\0000,dmload,dmload
curtislaptop,Symantec Eraser Control driver,ROOT\LEGACY_EECTRL\0000,Symantec Eraser Control driver,eeCtrl
curtislaptop,Fips,ROOT\LEGACY_FIPS\0000,Fips,Fips
curtislaptop,Generic Packet Classifier,ROOT\LEGACY_GPC\0000,Generic Packet Classifier,Gpc
curtislaptop,HTTP,ROOT\LEGACY_HTTP\0000,HTTP,HTTP
curtislaptop,i2omgmt,ROOT\LEGACY_I2OMGMT\0000,i2omgmt,i2omgmt
curtislaptop,IP Traffic Filter Driver,ROOT\LEGACY_IPFILTERDRIVER\0000,IP Traffic Filter Driver,IpFilterDriver
curtislaptop,IP Network Address Translator,ROOT\LEGACY_IPNAT\0000,IP Network Address Translator,IpNat
curtislaptop,IPSEC driver,ROOT\LEGACY_IPSEC\0000,IPSEC driver,IPSec
curtislaptop,ksecdd,ROOT\LEGACY_KSECDD\0000,ksecdd,ksecdd
curtislaptop,mdmxsdk,ROOT\LEGACY_MDMXSDK\0000,mdmxsdk,mdmxsdk
